PlantID	Pool	ID	Long
n96_Am_Pla_z2711_v3.5	Pla_Y	67	2.061967047
n96_Am_Pla_z2008_v3.5	Pla_Y	63	2.062047337
n96_Am_Pla_z0347_v3.5	Pla_Y	58	2.062415859
n96_Am_Pla_z3891_v3.5	Pla_Y	68	2.062697473
n96_Am_Pla_z2020_v3.5	Pla_Y	65	2.06272073
n96_Am_Pla_z5444_v3.5	Pla_Y	73	2.063280532
n96_Am_Pla_z4793_v3.5	Pla_Y	71	2.063297364
n96_Am_Pla_z4758_v3.5	Pla_Y	69	2.063343366
n96_Am_Pla_z0847_v3.5	Pla_Y	59	2.06416347
n96_Am_Pla_z4783_v3.5	Pla_Y	70	2.064393839
n96_Am_Pla_z2706_v3.5	Pla_Y	66	2.064503601
n96_Am_Pla_z0169_v3.5	Pla_Y	57	2.06488582
n96_Am_Pla_z2018_v3.5	Pla_Y	64	2.064902788
n96_Am_Pla_z1802_v3.5	Pla_Y	62	2.064910802
n96_Am_Pla_z0852_v3.5	Pla_Y	60	2.065055654
n96_Am_Pla_z4797_v3.5	Pla_Y	72	2.070664005
n96_Am_Pla_z0854_v3.5	Pla_Y	61	NA
n96_Am_Pla_z5451_v3.5	Pla_Y	74	NA
n96_Am_Pla_z2287_v3.5	Pla_FR	46	2.081924361
n96_Am_Pla_z2296_v3.5	Pla_FR	52	2.081925299
n96_Am_Pla_z2300_v3.5	Pla_FR	54	2.081929359
n96_Am_Pla_z2281_v3.5	Pla_FR	43	2.081933918
n96_Am_Pla_z0713_v3.5	Pla_FR	40	2.081934964
n96_Am_Pla_z2286_v3.5	Pla_FR	45	2.081954368
n96_Am_Pla_z2294_v3.5	Pla_FR	50	2.081961153
n96_Am_Pla_z2292_v3.5	Pla_FR	48	2.081963851
n96_Am_Pla_z4712_v3.5	Pla_FR	56	2.081965884
n96_Am_Pla_z2295_v3.5	Pla_FR	51	2.081973936
n96_Am_Pla_z4710_v3.5	Pla_FR	55	2.081975459
n96_Am_Pla_z2293_v3.5	Pla_FR	49	2.081978164
n96_Am_Pla_z2290_v3.5	Pla_FR	47	2.081978279
n96_Am_Pla_z2298_v3.5	Pla_FR	53	2.081979136
n96_Am_Pla_z2283_v3.5	Pla_FR	44	2.081999912
n96_Am_Pla_z1778_v3.5	Pla_FR	41	2.082552166
n96_Am_Pla_z2046_v3.5	Pla_FR	42	2.082707483
n96_Am_Pla_z0704_v3.5	Pla_FR	39	NA
n96_Am_Ave_x4128_v3.5	Ave_Y	20	NA
n96_Am_Ave_x4129_v3.5	Ave_Y	21	NA
n96_Am_Ave_x4134_v3.5	Ave_Y	22	NA
n96_Am_Ave_x4137_v3.5	Ave_Y	23	NA
n96_Am_Ave_x4140_v3.5	Ave_Y	24	NA
n96_Am_Ave_x4148_v3.5	Ave_Y	25	NA
n96_Am_Ave_x4149_v3.5	Ave_Y	26	NA
n96_Am_Ave_x4150_v3.5	Ave_Y	27	NA
n96_Am_Ave_x4153_v3.5	Ave_Y	28	NA
n96_Am_Ave_x4155_v3.5	Ave_Y	29	NA
n96_Am_Ave_x4158_v3.5	Ave_Y	30	NA
n96_Am_Ave_x4159_v3.5	Ave_Y	31	NA
n96_Am_Ave_x4392_v3.5	Ave_Y	32	NA
n96_Am_Ave_x4463_v3.5	Ave_Y	33	NA
n96_Am_Ave_x4477_v3.5	Ave_Y	34	NA
n96_Am_Ave_x4491_v3.5	Ave_Y	35	NA
n96_Am_Ave_x4570_v3.5	Ave_Y	36	NA
n96_Am_Ave_x4579_v3.5	Ave_Y	37	NA
n96_Am_Ave_x4580_v3.5	Ave_Y	38	NA
n96_Am_Ave_x3318_v3.5	Ave_FR	1	NA
n96_Am_Ave_x3327_v3.5	Ave_FR	2	NA
n96_Am_Ave_x3333_v3.5	Ave_FR	3	NA
n96_Am_Ave_x3394_v3.5	Ave_FR	4	NA
n96_Am_Ave_x4101_v3.5	Ave_FR	5	NA
n96_Am_Ave_x4102_v3.5	Ave_FR	6	NA
n96_Am_Ave_x4116_v3.5	Ave_FR	7	NA
n96_Am_Ave_x4161_v3.5	Ave_FR	8	NA
n96_Am_Ave_x4178_v3.5	Ave_FR	9	NA
n96_Am_Ave_x4359_v3.5	Ave_FR	10	NA
n96_Am_Ave_x4429_v3.5	Ave_FR	11	NA
n96_Am_Ave_x4459_v3.5	Ave_FR	12	NA
n96_Am_Ave_x4585_v3.5	Ave_FR	13	NA
n96_Am_Ave_x4593_v3.5	Ave_FR	14	NA
n96_Am_Ave_x4608_v3.5	Ave_FR	15	NA
n96_Am_Ave_x4624_v3.5	Ave_FR	16	NA
n96_Am_Ave_x4786_v3.5	Ave_FR	17	NA
n96_Am_Ave_x4837_v3.5	Ave_FR	18	NA
n96_Am_Ave_x4867_v3.5	Ave_FR	19	NA
