scaffold	start	end	mid	sites	lnL
Chr2	45000962	45004199	45002971	50	-1793.22041
Chr2	45004205	45005581	45004849	50	-1662.14685
Chr2	45005709	45007614	45006756	50	-1188.05523
Chr2	45007645	45008863	45008136	50	-1609.53885
Chr2	45008885	45013157	45011306	50	-1705.53299
Chr2	45013159	45014179	45013654	50	-1889.20843
Chr2	45014181	45015450	45014697	50	-1692.24029
Chr2	45015463	45018072	45016597	50	-1995.15886
Chr2	45018137	45020066	45019048	50	-1806.98625
Chr2	45020213	45024082	45022162	50	-1439.67291
Chr2	45024085	45025613	45025056	50	-1750.55005
Chr2	45025624	45026815	45026024	50	-1759.44173
Chr2	45026824	45029807	45028027	50	-1793.55775
Chr2	45029907	45034325	45031908	50	-1190.15063
Chr2	45034343	45036985	45035487	50	-1729.87623
Chr2	45037040	45039486	45038309	50	-1420.37029
Chr2	45039487	45043300	45041270	50	-1616.03832
Chr2	45043302	45044039	45043597	50	-1364.65248
Chr2	45044040	45044657	45044304	50	-1630.96911
Chr2	45044799	45047357	45046092	50	-1139.14845
Chr2	45047375	45050077	45048649	50	-1214.50858
Chr2	45050154	45053723	45051909	50	-1530.15961
Chr2	45053754	45056612	45055348	50	-2024.67881
Chr2	45056615	45068486	45058668	50	-1842.47072
Chr2	45068498	45072758	45070743	50	-1356.62098
Chr2	45072775	45074540	45073728	50	-1498.68209
Chr2	45074559	45075880	45075326	50	-1166.78512
Chr2	45075887	45077906	45076631	50	-1615.37036
Chr2	45077907	45080184	45079384	50	-2167.04966
Chr2	45080220	45084505	45082156	50	-1713.44109
Chr2	45084524	45087632	45086429	50	-1905.97194
Chr2	45087677	45089747	45088749	50	-1714.57167
Chr2	45089767	45091570	45090916	50	-1390.18587
Chr2	45091574	45092769	45092016	50	-2795.09010
Chr2	45092783	45095183	45093356	50	-2342.58064
Chr2	45095190	45099763	45096322	50	-1593.17266
Chr2	45099805	45118408	45112929	50	-2290.81908
Chr2	45118461	45123538	45120380	50	-1916.07637
Chr2	45123793	45136538	45135685	50	-1694.35834
Chr2	45136540	45137214	45136852	50	-3120.26678
Chr2	45137217	45138672	45138037	50	-2259.92220
Chr2	45138707	45139448	45139041	50	-2001.96814
Chr2	45139454	45141008	45140155	50	-3310.46075
Chr2	45141038	45143851	45142456	50	-2556.80480
Chr2	45143864	45149812	45147943	50	-2200.42107
Chr2	45149928	45153240	45152277	50	-1040.54180
Chr2	45153258	45155524	45154620	50	-2672.13211
Chr2	45155526	45158057	45156285	50	-2653.74873
Chr2	45158086	45162630	45161554	50	-1733.60383
Chr2	45162656	45165010	45163876	50	-1743.01527
Chr2	45165078	45168455	45166513	50	-2666.02515
Chr2	45168502	45170209	45169353	50	-1997.27087
Chr2	45170305	45171693	45171188	50	-2130.23840
Chr2	45171696	45173450	45172575	50	-2296.75483
Chr2	45173455	45174638	45173933	50	-2575.29766
Chr2	45174661	45177153	45176178	50	-1923.16364
Chr2	45177155	45178668	45177899	50	-1638.12976
